                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9619,                 2.3517,                 2.1025,                0.27623,                0.28617,                0.18653,                0.05464,                 2.1575,                 4.1215,                 2.1128,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.9678,                 2.3444,                  2.098,                0.31178,                0.29254,                0.21509,                0.06436,                 2.1685,                 4.3428,                 2.1396,              0.0091585,              0.0091585,              0.0091585
                     36,                  1.953,                 2.3453,                 2.0983,                0.31966,                0.28298,                0.21428,                0.06225,                 2.1739,                 3.8114,                 2.1691,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.9514,                 2.3031,                 2.0991,                0.30825,                0.28191,                0.20634,                0.05863,                 2.1467,                  3.858,                 2.1435,               0.009109,               0.009109,               0.009109
                     38,                 1.9286,                 2.2906,                 2.0772,                0.32343,                0.28936,                0.22556,                 0.0673,                 2.1614,                 3.7087,                 2.1562,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.9371,                 2.2834,                 2.0812,                  0.322,                0.30106,                0.22375,                0.06419,                  2.111,                 4.1875,                 2.0935,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.9221,                 2.2902,                 2.0712,                0.34517,                0.28617,                0.21606,                0.06345,                 2.1841,                 3.9269,                 2.1853,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.9118,                 2.2307,                 2.0543,                 0.2791,                0.27447,                0.19004,                0.05171,                 2.1953,                  3.824,                 2.2026,                0.00901,                0.00901,                0.00901
                     42,                 1.9253,                 2.2548,                 2.0597,                0.30779,                0.30851,                0.20912,                0.05759,                 2.1619,                 3.8909,                 2.1504,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.9036,                 2.2127,                 2.0414,                0.27497,                0.29574,                0.20165,                0.05971,                 2.1789,                 3.6717,                 2.1441,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.9022,                 2.2301,                 2.0532,                0.32139,                0.30426,                0.20775,                0.05826,                 2.2023,                 3.9051,                  2.198,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.9055,                 2.2224,                 2.0599,                0.34915,                0.29681,                0.23357,                0.06977,                 2.1689,                 3.6563,                 2.1526,               0.008911,               0.008911,               0.008911
                     46,                 1.9233,                 2.2346,                 2.0436,                0.30421,                0.29396,                 0.2035,                0.06143,                 2.1679,                 3.6718,                 2.1369,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.8952,                  2.192,                 2.0379,                0.28491,                0.29043,                 0.1892,                0.05629,                 2.1572,                 3.6217,                 2.1462,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.8953,                 2.2006,                 2.0406,                0.31117,                0.27872,                0.20123,                0.05946,                 2.1564,                 3.9722,                   2.15,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.8915,                 2.1928,                 2.0202,                0.30039,                0.26584,                0.18826,                0.05511,                 2.1467,                 3.6797,                 2.1456,               0.008812,               0.008812,               0.008812
                     50,                 1.8818,                 2.1712,                 2.0196,                0.32793,                 0.3117,                0.22343,                0.06616,                 2.1399,                 3.7463,                 2.1231,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.8775,                 2.1512,                 2.0169,                0.31997,                0.31064,                0.21806,                0.06529,                 2.1311,                 3.5678,                 2.1117,              0.0087625,              0.0087625,              0.0087625
